algorithm,sigma_hat,mc_spread,cc,entropy,gini,time_s,theta
CA-RIS,203.34954078876282,196.0667,0.8333333333333334,0.8740397057226866,0.1919617285091404,0.4239,37020
D-RIS,209.1069729509311,199.2536,0.8333333333333334,0.8673031162272509,0.309962867801183,0.4567,36785
RIS,205.12,202.8907,0.8333333333333334,0.8515088654227339,0.3763028293414575,2.3562,200000
