algorithm,sigma_hat,mc_spread,cc,entropy,gini,time_s,theta
CA-RIS,72.84047860170287,62.2503,0.9166666666666666,0.8059349094803512,0.1748787970768142,0.1756,53322
D-RIS,75.90373510464302,65.85,0.75,0.758548752336129,0.4876198002641079,0.1996,59918
RIS,73.22,68.8922,0.9166666666666666,0.8149150332003745,0.4144165547791212,0.672,200000
